id,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
112,"Oxford, Bodleian Library, MS. Laud Misc. 284",GB-Ob Laud Misc. 284,,,,12th century,Würzburg,,,,,,,http://cantus.uwaterloo.ca/source/123707,Secular,,,
113,Gottschalk Antiphoner (fragments),GOTTSCHALK,,,,12th century,Lambach Abbey,,,,,,,http://cantusdatabase.org/source/123609,Monastic,,,
114,"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c.",I-CHV,,,,11th century,Chiavenna,,,,,,,http://cantusdatabase.org/source/123604,Secular,,,
115,"Baltimore, Walters Art Museum, W 759",US-BAw W 759,,,,13th century (1275-1300),Beaupré Abbey (Grimminge),,,,,,,http://cantus.uwaterloo.ca/source/702358,Monastic,,,
116,CZ-Pu (Praha) VI G 11,CZ-Pu VI G 11,,,,13th century,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/28488,Monastic,,,
117,CH-SGs : Cod 0018,CH-SGs Cod 0018,,,,10th century,St Gallen,,,,,,,http://musmed.eu/source/14264,,,,
118,CH-SGs : Cod 0374,CH-SGs Cod 0374,,,,11th century,St Gallen,,,,,,,http://musmed.eu/source/14286,,,,
119,F-CHRm : Ms 0047 (40),F-CHRm Ms 0047 (40),,,,10th century,St sauveur de Redon,,,,,,,http://musmed.eu/source/9343,,,,
120,F-Pn : Lat. 17296,F-Pn Lat. 17296,,,,12th century, Abbaye royale de Saint-Denis,,,,,,,http://musmed.eu/source/13486,Monastic,,,
121,F-Pn : Lat. 909,F-Pn Lat. 909,,,,11th century,St Martial de Limoges,,,,,,,http://musmed.eu/source/13026,,,,
122,CH-SGs : Cod 0339,CH-SGs Cod 0339,,,,10th century,St Gallen,,,,,,,http://musmed.eu/source/14273,,,,
123,SK-Sk (Spišska Kapitula) Antiphonale Scepusiense,SK-Sk 2,,,,15th century,Slovakia,,,,,,,http://cantus.sk/source/6777,,,,
124,"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",A-Gu 29,,,,14th century,St-Lambrecht,,,,,,,http://cantusdatabase.org/source/123610,Monastic,,,
125,"Praha (Prague), Národní knihovna České republiky (National Library), VI.E.4c",CZ-Pu VI.E.4c,,,,12th century (2nd half),"Prague, St. George Monastery",,,,,,,http://cantusdatabase.org/source/123727,Monastic,,,
