,drupal_path,title,siglum,century,num_century,provenance_id
165,http://cantus.uwaterloo.ca/source/123698,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [10] X",DK-Kk 3449 8o [10] X,16th century (1575-1600),16,provenance_016
166,http://musmed.eu/source/14251,F-SO : Ms 0334,F-SO Ms 0334,13th century,13,
167,http://cantus.ispan.pl/source/21623,PL-STAb 2 Antiphonarium,ms. 2,16th century,16,
168,http://cantus.uwaterloo.ca/source/123696,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [08] VIII",DK-Kk 3449 8o [08] VIII,16th century (1575-1600),16,provenance_016
169,http://cantus.uwaterloo.ca/source/123703,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [15] XV",DK-Kk 3449 8o [15] XV,16th century (1575-1600),16,provenance_016
170,http://pemdatabase.eu/source/62867,P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 021,P-AR Res. Ms. 021,c. 1200,13,
171,http://pemdatabase.eu/source/46520,P-Cua (Coimbra) Arquivo Distrital e da Universidade ,P-Cua Liber Catenatus ,mid 14th century,14,
172,http://cantusbohemiae.cz/source/9194,CZ-Pu (Praha) XIV G 46,CZ-Pu XIV G 46,14th century,14,
173,http://cantus.uwaterloo.ca/source/123697,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [09] IX",DK-Kk 3449 8o [09] IX,16th century (1575-1600),16,provenance_016
174,http://cantus.uwaterloo.ca/source/123704,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [16] XVI",DK-Kk 3449 8o [16] XVI,16th century (1575-1600),16,provenance_016
175,http://musmed.eu/source/12990,F-Pn : Lat. 780,F-Pn Lat. 780,11th century,11,
