title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
"Karlsruhe, Badische Landesbibliothek - Musikabteilung, Aug. LX","D-KA Aug. LX",,,,"12th century",Zwiefalten,,,,,,,"http://cantus.uwaterloo.ca/source/123612",Monastic,,,
"Leipzig, Universitätsbibliothek, Rep. I 93","D-LEu Rep. I 93",,,,"10th century (900-925)",Metz,,,,,,,"http://cantus.uwaterloo.ca/source/641834",Monastic,,,
"Stuttgart, Württembergische Landesbibliothek, HB.I.55","D-Sl HB.I.55",,,,"12th century",Weingarten,,,,,,,"http://cantus.uwaterloo.ca/source/123637",Monastic,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [06] VI","DK-Kk 3449 8o [06] VI",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123694",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [11] XI","DK-Kk 3449 8o [11] XI",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123699",Secular,,,
"Arras, Bibliothèque municipale, 893 (olim 465)","F-AS 893",,,,"14th century",Arras,,,,,,,"http://cantus.uwaterloo.ca/source/123593",Monastic,,,
"Cambrai, Bibliothèque municipale, 38 (olim 40)","F-CA 38",,,,"13th century (1225-1250)",Cambrai,,,,,,,"http://cantus.uwaterloo.ca/source/123601",Secular,,,
"Cambrai, Bibliothèque municipale, Impr. XVI C 4","F-CA Impr. XVI C 4",,,,"16th century (1500-1525)",Cambrai,,,,,,,"http://cantus.uwaterloo.ca/source/123602",Secular,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1412","F-Pn NAL 1412",,,,"12th century (1175-1200)",Milan,,,,,,,"http://cantus.uwaterloo.ca/source/123678",Monastic,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535","F-Pn NAL 1535",,,,"13th century",Sens,,,,,,,"http://cantus.uwaterloo.ca/source/123633",Secular,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085","F-Pn Lat. 1085",,,,"10th century (975-1000)","St. Martial",,,,,,,"http://cantus.uwaterloo.ca/source/123663",,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044","F-Pn Lat. 12044",,,,"12th century",St-Maur-des-Fossés,,,,,,,"http://cantus.uwaterloo.ca/source/123628",Monastic,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15182","F-Pn Lat. 15182",,,,"14th century",Paris,,,,,,,"http://cantus.uwaterloo.ca/source/123632",Secular,,,
"Rouen, Bibliothèque municipale, 248 (olim  A. 339)","F-R 248",,,,"13th century",Jumièges,,,,,,,"http://cantus.uwaterloo.ca/source/123662",Monastic,,,
"Tours, Bibliothèque municipale, 149","F-TOm 149",,,,"13th century",Tours,,,,,,,"http://cantus.uwaterloo.ca/source/123640",Secular,,,
"Oxford, Bodleian Library, MS. Canon. Liturg. 202 (olim 19314)","GB-Ob Can. Lit. 202",,,,"13th century",Germany,,,,,,,"http://cantus.uwaterloo.ca/source/123687",,,,
"Aosta, Seminario Maggiore - Biblioteca, 6","I-AO 6",,,,"13th century","Aosta, Sant-Orso",,,,,,,"http://cantus.uwaterloo.ca/source/123666",Secular,,,
"Benevento, Archivio Capitolare, V 20","I-BV V 20",,,,"12th century",Benevento,,,,,,,"http://cantus.uwaterloo.ca/source/123596",Secular,,,
"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601","I-Lc 601",,,,"12th century",Pozzeveri,,,,,,,"http://cantus.uwaterloo.ca/source/123680",Monastic,,,
"Monza, Basilica di S. Giovanni Battista - Biblioteca Capitolare e Tesoro, 15/79","I-MZ 15/79",,,,"12th century",Pavia,,,,,,,"http://cantus.uwaterloo.ca/source/123626",Secular,,,
"Piacenza, Basilica di S. Antonino - Biblioteca e Archivio Capitolari, 65","I-PCsa 65",,,,"12th century",Piacenza,,,,,,,"http://cantus.uwaterloo.ca/source/123634",Secular,,,
"Münster Antiphoner (1537)","MA Impr. 1537",,,,"16th century (1525-1550)",Muenster,,,,,,,"http://cantus.uwaterloo.ca/source/123724",Secular,,,
"Wroclaw, Biblioteka Uniwersytecka (University Library), I F 401","PL-WRu I F 401",,,,"13th century (1275-1300)",Lubiąż,,,,,,,"http://cantus.uwaterloo.ca/source/589069",Monastic,,,
"Wrocław, Biblioteka Uniwersytecka, Ms. R 503","PL-WRu R 503",,,,"14th century (2nd half)",Wrocław,,,,,,,"http://cantus.uwaterloo.ca/source/123756",Secular,,,
"Antiphonarium Hymnarium P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 025","P-AR Res. Ms. 025",,,," c. 1200","Alcobaça, Mosteiro de Santa Maria?",,,,,,,"http://pemdatabase.eu/source/46683",Monastic,,,
"SK-BRsa (Bratislava) Slovenský národný archív Antiphonary of Bratislava V","SK-BRsa SNA 17",,,,"15th century",Bohemia,,,,,,,"http://cantus.sk/source/6775",,,,
"NL-Lu : BPL 0025","NL-Lu BPL 0025",,,,"9th century","Bretagne ?",,,,,,,"http://musmed.eu/source/15927",,,,
"GB-Lbl : Harley 4951","GB-Lbl Harley 4951",,,,"11th century","Saint-Sernin de Toulouse",,,,,,,"http://musmed.eu/source/29527",,,,
"F-Pn : Lat. 903","F-Pn Lat. 903",,,,"11th century","Saint Yrieix",,,,,,,"http://musmed.eu/source/13022",,,,
"F-Pn : Lat. 1121","F-Pn Lat. 1121",,,,"11th century","St. Martial de Limoges",,,,,,,"http://musmed.eu/source/13060",,,,
"Wien, Diözesanarchiv, C-10","A-Wda C-10",,,,"15th century",Kirnberg,,,,,,,"http://cantus.uwaterloo.ca/source/123644",,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1013","A-KN 1013",,,,"12th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123614",Secular,,,
"Wien, Diözesanarchiv, D-4","A-Wda D-4",,,,"15th century",Kirnberg,,,,,,,"http://cantus.uwaterloo.ca/source/123649",,,,
"Einsiedeln, Stiftsbibliothek, Codex 121","CH-E 121",,,,"10th century",Einsiedeln,,,,,,,"http://cantus.uwaterloo.ca/source/666647",Monastic,,,
"Fulda, Hessische Landesbibliothek, Aa 55","D-FUl Aa 55",,,,"14th century",Rasdorf,,,,,,,"http://cantus.uwaterloo.ca/source/123685",Secular,,,
"Köln (Cologne), Erzbischöfliche Diözesan- und Dombibliothek, 215","D-KNd 215",,,,"12th century",Würzburg,,,,,,,"http://cantus.uwaterloo.ca/source/123741",Monastic,,,
"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 1411","F-Pn NAL 1411",,,,"12th century (2nd half)",Milan,,,,,,,"http://cantus.uwaterloo.ca/source/123677",Monastic,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15181","F-Pn Lat. 15181",,,,"14th century",Paris,,,,,,,"http://cantus.uwaterloo.ca/source/123631",Secular,,,
"Solesmes, Abbaye de Saint-Pierre, 596 (The Wilton Processional)","F-SO 596",,,,"13th century (1275-1300)",English,,,,,,,"http://cantus.uwaterloo.ca/source/620437",Monastic,,,
"London, British Library, printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)","GB-Lbl IB.6753",,,,"15th century (1475-1500)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123668",Secular,,,
"Oxford, Bodleian Library, MS. Laud Misc. 284","GB-Ob Laud Misc. 284",,,,"12th century",Würzburg,,,,,,,"http://cantus.uwaterloo.ca/source/123707",Secular,,,
"Gottschalk Antiphoner (fragments)",GOTTSCHALK,,,,"12th century","Lambach Abbey",,,,,,,"http://cantus.uwaterloo.ca/source/123609",Monastic,,,
"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c.",I-CHV,,,,"11th century",Chiavenna,,,,,,,"http://cantus.uwaterloo.ca/source/123604",Secular,,,
"Baltimore, Walters Art Museum, W 759","US-BAw W 759",,,,"13th century (1275-1300)","Beaupré Abbey (Grimminge)",,,,,,,"http://cantus.uwaterloo.ca/source/702358",Monastic,,,
"CH-SGs : Cod 0018","CH-SGs Cod 0018",,,,"10th century","St Gallen",,,,,,,"http://musmed.eu/source/14264",,,,
"CH-SGs : Cod 0374","CH-SGs Cod 0374",,,,"11th century","St Gallen",,,,,,,"http://musmed.eu/source/14286",,,,
"F-CHRm : Ms 0047 (40)","F-CHRm Ms 0047 (40)",,,,"10th century","St sauveur de Redon",,,,,,,"http://musmed.eu/source/9343",,,,
"F-Pn : Lat. 17296","F-Pn Lat. 17296",,,,"12th century"," Abbaye royale de Saint-Denis",,,,,,,"http://musmed.eu/source/13486",Monastic,,,
"F-Pn : Lat. 909","F-Pn Lat. 909",,,,"11th century","St Martial de Limoges",,,,,,,"http://musmed.eu/source/13026",,,,
"CH-SGs : Cod 0339","CH-SGs Cod 0339",,,,"10th century","St Gallen",,,,,,,"http://musmed.eu/source/14273",,,,
"SK-Sk (Spišska Kapitula) Antiphonale Scepusiense","SK-Sk 2",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/6777",,,,
"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)","A-Gu 29",,,,"14th century",St-Lambrecht,,,,,,,"http://cantus.uwaterloo.ca/source/123610",Monastic,,,
"Praha (Prague), Národní knihovna České republiky (National Library), VI.E.4c","CZ-Pu VI.E.4c",,,,"12th century (2nd half)","Prague, St. George Monastery",,,,,,,"http://cantus.uwaterloo.ca/source/123727",Monastic,,,
"Praha (Prague), Národní knihovna České republiky (National Library), XIV.B.13","CZ-Pu XIV B 13",,,,"14th century","Prague, St. George Monastery",,,,,,,"http://cantus.uwaterloo.ca/source/123730",,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1010","A-KN 1010",,,,"12th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123653",Secular,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1011","A-KN 1011",,,,"14th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123654",Secular,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1015","A-KN 1015",,,,"14th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123655",Secular,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1017","A-KN 1017",,,,"13th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123615",Secular,,,
"Sankt Gallen, Stiftsbibliothek, 390","CH-SGs 390",,,,"10th century (975-1000)","St. Gallen",,,,,,,"http://cantus.uwaterloo.ca/source/123717",Monastic,,,
"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)","D-W 29 Helmst.",,,,"16th century",Hilwartshausen,,,,,,,"http://cantus.uwaterloo.ca/source/123715",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [01] I","DK-Kk 3449 8o [01] I",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123689",Secular,,,
"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1","PL-KIk 1",,,,"14th century (1350-1375)",Kielce,,,,,,,"http://cantus.uwaterloo.ca/source/123736",Secular,,,
"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)","SI-Lna 18 (olim 17)",,,,"15th century (1475-1500)",Kranj,,,,,,,"http://cantus.uwaterloo.ca/source/123618",Secular,,,
"SK-BSa (Banská Štiavnica) Protocollum No.inv.269 16 MMBŠ 16K12 1587-1591, škatuľa 5","SK-BSa 269",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/58",,,,
"PL-Klk 1 Antyfonarz kielecki",1,,,,"14th century",Kielce,,,,,,,"http://cantus.ispan.pl/source/4557",,,,
"PL-STAb 1 Antiphonarium","ms. 1",,,,"16th century",Staniątki,,,,,,,"http://cantus.ispan.pl/source/21018",,,,
"V-CVbav : Reg.lat.0466","V-CVbav Reg.lat.0466",,,,"10th century","Saint-Thierry de Reims",,,,,,,"http://musmed.eu/source/14884",Monastic,,,
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0064 (fragment)","CDN-Mlr MS Medieval 0064 (fragment)",,,,"14th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/693504",,,,
"München, Bayerische Staatsbibliothek, Clm 4304","D-Mbs Clm 4304",,,,"16th century (1500-1525)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123682",Monastic,,,
"Trier, Stadtbibliothek Weberbach, 1245 / 597 (original)","D-TRs 1245 / 597 (original)",,,,"09th century",Prüm,,,,,,,"http://cantus.uwaterloo.ca/source/651162",Monastic,,,
"Trier, Stadtbibliothek, 1245 / 597 (revised)","D-TRs 1245/597 (rev)",,,,"09th century",Prüm,,,,,,,"http://cantus.uwaterloo.ca/source/662398",Monastic,,,
"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.4 (rkp. Perg. 20)","PL-Kkar 4 (Rkp 20)",,,,"15th century",Kraków,,,,,,,"http://cantus.uwaterloo.ca/source/123710",Secular,,,
"New York, Columbia University - Barnard College Library,  MS 1","US-NYcub Barnard 1",,,,"14th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/683940",Secular,,,
"New York, Columbia University, Rare Book and Manuscript Library, Plimpton MS 034","US-NYcub Plimpton MS 034",,,,"14th century (1350-1375)",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/604043",Secular,,,
"Missale Mixtum P-Cua (Coimbra) Arquivo Distrital e da Universidade Estante XVI, tab.5, nº 5","P-Cua Estante XVI tab 5 no 5",,,,"14th century (2nd quarter)","Coimbra, Catedral",,,,,,,"http://pemdatabase.eu/source/46517",Secular,,,
"F-AN : Ms 0091","F-AN Ms 0091",,,,"10th century","Abbaye Saint-Pierre d’Angers (?) puis abbaye Saint-Aubin",,,,,,,"http://musmed.eu/source/8452",,,,
"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)","D-BAs Msc.Lit.25",,,,"13th century",Bamberg,,,,,,,"http://cantus.uwaterloo.ca/source/123594",Secular,,,
"Mainz, Bischöfliches Dom- und Diözesanmuseum, C","D-MZb C",,,,"15th century (1425-1450)",Mainz,,,,,,,"http://cantus.uwaterloo.ca/source/123622",Secular,,,
"London, British Library, Additional Collection, MS. 57337","GB-Lbl Add. 57337",,,,"10th century (975-1000)",English,,,,,,,"http://cantus.uwaterloo.ca/source/673643",Secular,,,
"SK-Bra (Bratislava) Antiphonary of Bratislava I EC Lad.3","SK-Bra BAI ECLad.3",,,,"15th century",Bratislava,,,,,,,"http://cantus.sk/source/14828",,,,
"SK-Bra (Bratislava) Antiphonary of Bratislava III EC Lad.6","SK-Bra BAIII ECLad.6",,,,"15th century","Buda / Bratislava",,,,,,,"http://cantus.sk/source/14018",,,,
"V-CVbav : Pal.lat.0489","V-CVbav Pal.lat.0489",,,,"10th century",Zell,,,,,,,"http://musmed.eu/source/14837",,,,
"Wien, Diözesanarchiv, C-11","A-Wda C-11",,,,"15th century",Kirnberg,,,,,,,"http://cantus.uwaterloo.ca/source/123645",,,,
"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)","B-TO olv 63",,,,"14th century (1375-1400)",Tongeren,,,,,,,"http://cantus.uwaterloo.ca/source/123664",Secular,,,
"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)","B-TO olv 64",,,,"14th century (1375-1400)",Tongeren,,,,,,,"http://cantus.uwaterloo.ca/source/123665",Secular,,,
"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554","CDN-Hsmu M2149.L4",,,,"16th century (1550-1575)",Salzinnes,,,,,,,"http://cantus.uwaterloo.ca/source/123723",Monastic,,,
"Mainz, Bischöfliches Dom- und Diözesanmuseum, E","D-MZb E",,,,"15th century (1425-1450)",Mainz,,,,,,,"http://cantus.uwaterloo.ca/source/123624",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [14] XIV","DK-Kk 3449 8o [14] XIV",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123702",Secular,,,
"Budapest, Egyetemi Könyvtár (University Library), lat. 122","H-Bu lat. 122",,,,"14th century",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/123600",Secular,,,
"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542","I-MC 542",,,,"12th century",Montecassino,,,,,,,"http://cantus.uwaterloo.ca/source/123625",Secular,,,
"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)","PL-Kkar 5 (Rkp 13)",,,,"15th century",Kraków,,,,,,,"http://cantus.uwaterloo.ca/source/123711",Secular,,,
"E-Sco (Sevilla) Institución Colombina Libro 13","E-Sco Libro 013",,,,"16th century (first half, with revisions)","Sevilla (E), Catedral",,,,,,,"http://pemdatabase.eu/source/66993",Secular,,,
"SK-BRnm (Bratislava) MUS I 11","SK-BRnm MUS I 11",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/211",,,,
"SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IV","SK-BRsa SNA 2",,,,"15th century",Bratislava,,,,,,,"http://cantus.sk/source/2284",,,,
"SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IIb","SK-BRsa SNA 4",,,,"15th century",Bratislava,,,,,,,"http://cantus.sk/source/3192",,,,
"F-CH : Ms 0050","F-CH Ms 0050",,,,"13th century","Collection Standish",,,,,,,"http://musmed.eu/source/23756",,,,
"F-Pn : NAL 01236","F-Pn NAL 01236",,,,"12th century",Nevers,,,,,,,"http://musmed.eu/source/13535",Romanum,,,
