,drupal_path,title,provenance,siglum,num_century,century,cursus,provenance_id
25,http://cantusdatabase.org/source/123670,"Assisi, Biblioteca comunale, 693",Italy,I-Ac 693,13,13th century,Secular,provenance_071
26,http://cantusdatabase.org/source/123669,"Assisi, Biblioteca comunale, 694",Italy,I-Ac 694,13,13th century,Secular,provenance_071
27,http://cantusdatabase.org/source/123675,"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5",Italy,I-Ad 5,13,13th century (1225-1250),Secular,provenance_071
28,http://cantusdatabase.org/source/123674,"Napoli, Biblioteca nazionale Vittorio Emanuele III, vi. E. 20",Italy,I-Nn vi.E.20,13,13th century,Secular,provenance_071
29,http://cantusdatabase.org/source/123635,"Roma, Biblioteca Vallicelliana, C.5",Rome (Roma),I-Rv C.5,11,11th century,Monastic,provenance_146
30,http://cantusdatabase.org/source/123676,"Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, lat. 8737",Italy,V-CVbav Vat.lat. 8737,unknown,unknown,Secular,provenance_071
31,http://cantusdatabase.org/source/123641,"Utrecht, Universiteitsbibliotheek, Ms. 406 (shelfmark 3 J 7)",Utrecht,NL-Uu 406 (3 J 7),12,12th century,Secular,provenance_196
32,http://cantusdatabase.org/source/123648,"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6",Zutphen,NL-ZUa 6,15,15th century,Unknown,provenance_216
33,http://cantusdatabase.org/source/599679,"Wellington (New Zealand), The Alexander Turnbull Library - Rare Books, MSR-03",Amersfoort,NZ-Wt MSR-03,15,15th century (2nd half),Secular,provenance_006
34,http://cantusdatabase.org/source/123686,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.1 (rkp. Perg. 12)",Kraków,PL-Kkar 1 (Rkp 12),unknown,unknown,Secular,provenance_077
35,http://cantusdatabase.org/source/123709,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.3 (rkp. Perg. 15)",Kraków,PL-Kkar 3 (Rkp 15),unknown,unknown,Secular,provenance_077
36,http://cantusdatabase.org/source/123671,"Chicago, Newberry Library, 24",Italy,US-Cn 24,13,13th century,Secular,provenance_071
37,http://cantusdatabase.org/source/123661,"Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, San Pietro B.79",Rome (Roma),V-CVbav B.79,12,12th century,Secular,provenance_146
38,https://pemdatabase.eu/source/48438,P-BRs (Braga) Arquivo da Sé Ms. 028,"Braga, Catedral",P-BRs Ms. 028,16,16th century (first quarter),Secular,provenance_218
39,http://cantus.ispan.pl/source/14458,"PL-PŁsem MsEPl 15 Antyfonarz z Płocka, pars de sanctis",Płock,MsEPl 15,15,15th century,Unknown,provenance_220
40,http://cantus.ispan.pl/source/22280,PL-STAb 4 Antiphonarium,Staniątki,ms. 4,16,16th century,Unknown,provenance_221
41,http://musicahispanica.eu/source/19722,"E-SI (Silos), Archivo del Monasterio, ms. 9",Monasterio de San Salvador de Celanova (Ourense),E-SI ms. 9,13,13th century,Unknown,provenance_244
42,http://musicahispanica.eu/source/22257,"E-LUc Archivo de la Catedral de Lugo, s.s.",Lugo?,E-LUc s.s.,13,13th century,Unknown,unknown
43,http://musicahispanica.eu/source/20245,"E-Bbc (Barcelona) E-Bbc, Ms. 619",Catedral de Vic (Barcelona),"E-Bbc E-Bbc, Ms. 619",14,14th century,Unknown,provenance_234
44,http://cantusdatabase.org/source/123611,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",St-Lambrecht,A-Gu 30,14,14th century,Monastic,provenance_165
45,http://cantusdatabase.org/source/123613,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1012",Klosterneuburg,A-KN 1012,12,12th century,Secular,provenance_076
46,http://cantusdatabase.org/source/123616,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1018",Klosterneuburg,A-KN 1018,14,14th century,Secular,provenance_076
47,http://cantusdatabase.org/source/123656,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 589",Klosterneuburg,A-KN 589,14,14th century,Secular,provenance_076
48,http://cantusdatabase.org/source/123660,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258",St. Pölten,A-KR VI/258,13,13th century (2nd half),Secular,provenance_179
49,http://cantusdatabase.org/source/123617,"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; Gamma p.19)",Kremsmünster,A-LIs 290,12,12th century,Monastic,provenance_079
50,http://cantusdatabase.org/source/123658,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480",St-Florian,A-SF XI 480,14,14th century,Secular,provenance_164
51,http://cantusdatabase.org/source/123643,"Vorau, Stiftsbibliothek, 287 (olim XXIX)",Vorau,A-VOR 287,14,14th century,Secular,provenance_205
52,http://cantusdatabase.org/source/123667,"Wien, Österreichische Nationalbibliothek - Handschriftensammlung, 1799**",Rein,A-Wn 1799**,13,13th century,Monastic,provenance_140
53,http://cantusdatabase.org/source/123713,"Wien, Österreichische Nationalbibliothek - Musiksammlung, 1890",Southern Germany / Austria,A-Wn 1890,12,12th century,Monastic,provenance_162
54,http://cantusdatabase.org/source/702611,"Gent, Universiteitsbibliotheek, Hs BKT.006 (Tsgrooten Antiphoner"")""",Tongerloo,B-Gu Hs BKT.006,16,16th century (1500-1525),Secular,unknown
55,http://cantusdatabase.org/source/123714,"Aachen (Aix-la-Chapelle), Domarchiv, G 20",Aachen,D-AAm G 20,13,13th century (2nd half),Secular,provenance_001
56,http://cantusdatabase.org/source/123612,"Karlsruhe, Badische Landesbibliothek - Musikabteilung, Aug. LX",Zwiefalten,D-KA Aug. LX,12,12th century,Monastic,provenance_217
57,http://cantusdatabase.org/source/123637,"Stuttgart, Württembergische Landesbibliothek, HB.I.55",Weingarten,D-Sl HB.I.55,12,12th century,Monastic,provenance_207
58,http://cantusdatabase.org/source/123694,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [06] VI",Augsburg,DK-Kk 3449 8o [06] VI,16,16th century (1575-1600),Secular,provenance_016
59,http://cantusdatabase.org/source/123699,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [11] XI",Augsburg,DK-Kk 3449 8o [11] XI,16,16th century (1575-1600),Secular,provenance_016
60,http://cantusdatabase.org/source/123601,"Cambrai, Bibliothèque municipale, 38 (olim 40)",Cambrai,F-CA 38,13,13th century (1225-1250),Secular,provenance_029
61,http://cantusdatabase.org/source/123602,"Cambrai, Bibliothèque municipale, Impr. XVI C 4",Cambrai,F-CA Impr. XVI C 4,16,16th century (1500-1525),Secular,provenance_029
62,http://cantusdatabase.org/source/123678,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1412",Milan,F-Pn NAL 1412,12,12th century (1175-1200),Monastic,provenance_097
63,http://cantusdatabase.org/source/123633,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535",Sens,F-Pn NAL 1535,13,13th century,Secular,provenance_160
64,http://cantusdatabase.org/source/123663,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085",St. Martial,F-Pn Lat. 1085,10,10th century (975-1000),Unknown,provenance_176
65,http://cantusdatabase.org/source/123628,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044",St-Maur-des-Fossés,F-Pn Lat. 12044,12,12th century,Monastic,provenance_167
66,http://cantusdatabase.org/source/123632,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15182",Paris,F-Pn Lat. 15182,14,14th century,Secular,provenance_121
67,http://cantusdatabase.org/source/123662,"Rouen, Bibliothèque municipale, 248 (olim  A. 339)",Jumièges,F-R 248,13,13th century,Monastic,provenance_073
68,http://cantusdatabase.org/source/123640,"Tours, Bibliothèque municipale, 149",Tours,F-TOm 149,13,13th century,Secular,provenance_190
69,http://cantusdatabase.org/source/123666,"Aosta, Seminario Maggiore - Biblioteca, 6","Aosta, Sant-Orso",I-AO 6,13,13th century,Secular,provenance_149
70,http://cantusdatabase.org/source/123596,"Benevento, Archivio Capitolare, V 20",Benevento,I-BV V 20,12,12th century,Secular,provenance_023
71,http://cantusdatabase.org/source/123680,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601",Pozzeveri,I-Lc 601,12,12th century,Monastic,provenance_127
72,http://cantusdatabase.org/source/123626,"Monza, Basilica di S. Giovanni Battista - Biblioteca Capitolare e Tesoro, 15/79",Pavia,I-MZ 15/79,12,12th century,Secular,provenance_123
73,http://cantusdatabase.org/source/123724,Münster Antiphoner (1537),Muenster,MA Impr. 1537,16,16th century (1525-1550),Secular,provenance_103
74,http://cantusdatabase.org/source/589069,"Wroclaw, Biblioteka Uniwersytecka (University Library), I F 401",Lubiąż,PL-WRu I F 401,13,13th century (1275-1300),Monastic,provenance_088
75,http://cantusdatabase.org/source/123756,"Wrocław, Biblioteka Uniwersytecka, Ms. R 503",Wrocław,PL-WRu R 503,14,14th century (2nd half),Secular,provenance_212
76,https://pemdatabase.eu/source/46683,Antiphonarium Hymnarium P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 025,"Alcobaça, Mosteiro de Santa Maria?",P-AR Res. Ms. 025,13, c. 1200,Monastic,provenance_246
77,http://cantusbohemiae.cz/source/2150,CZ-Bu (Brno) R 387,Rajhrad,CZ-Bu R 387,12,12th century,Unknown,provenance_219
78,http://cantusbohemiae.cz/source/2152,CZ-Pu (Praha) VI E 13,St George's Convent in Prague,CZ-Pu VI E 13,12,12th century,Monastic,provenance_129
79,http://cantusbohemiae.cz/source/2161,CZ-R (Rajhrad) R 17,Rajhrad,CZ-R R 17,14,14th century,Unknown,provenance_219
80,http://cantusbohemiae.cz/source/9137,CZ-Pu (Praha) XIV C 20,St George's Convent in Prague ,CZ-Pu XIV C 20,14,14th century,Monastic,provenance_129
81,http://cantus.sk/source/6775,SK-BRsa (Bratislava) Slovenský národný archív Antiphonary of Bratislava V,Bohemia,SK-BRsa SNA 17,15,15th century,Unknown,provenance_225
82,http://musicahispanica.eu/source/20420,"E-H, Archivo de la Catedral de Huesca, ms. 9",Huesca,"E-H, ms. 9",13,13th century,Unknown,provenance_228
83,http://musicahispanica.eu/source/20168,"E-Mh (Madrid) E-Mh, Cód. 45","Monasterio de San Millán de la Cogolla, La Rioja.","E-Mh E-Mh, Cód. 45",12,12th century,Unknown,provenance_254
84,http://musicahispanica.eu/source/20199,GB-Lbl (London) Add MS 30850,Ascribed to Santo Domingo de Silos (see 'Description' above),GB-Lbl Add MS 30850,11,11th century,Unknown,unknown
85,http://musicahispanica.eu/source/59988,Antifonario de la Santa Cruz de Serós,Monasterio de Santa Cruz de la Serós (Huesca),Antifonario Antifonario de la Santa Cruz de Serós,12,12th century,Unknown,provenance_230
86,http://musicahispanica.eu/source/74655,GB-Lbl (London) Add MS 30848,Santo Domingo de Silos,GB-Lbl Add MS 30848,11,11th century,Unknown,provenance_235
87,http://musmed.eu/source/29527,GB-Lbl : Harley 4951,Saint-Sernin de Toulouse,GB-Lbl Harley 4951,11,11th century,Unknown,provenance_243
88,http://musmed.eu/source/13022,F-Pn : Lat. 903,Saint Yrieix,F-Pn Lat. 903,11,11th century,Unknown,provenance_245
89,http://musmed.eu/source/13060,F-Pn : Lat. 1121,St. Martial de Limoges,F-Pn Lat. 1121,11,11th century,Unknown,provenance_176
90,http://cantusdatabase.org/source/123706,"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42",Esztergom,TR-Itks 42,unknown,unknown,Secular,provenance_051
91,http://cantusdatabase.org/source/123644,"Wien, Diözesanarchiv, C-10",Kirnberg,A-Wda C-10,15,15th century,Unknown,provenance_075
92,http://musicahispanica.eu/source/20155,"E-E (San Lorenzo de El Escorial) E-E, L. III. 4.",monasterio benedictino en Aragón?,"E-E E-E, L. III. 4.",12,12th century,Unknown,unknown
93,http://cantusdatabase.org/source/123614,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1013",Klosterneuburg,A-KN 1013,12,12th century,Secular,provenance_076
94,http://cantusdatabase.org/source/123649,"Wien, Diözesanarchiv, D-4",Kirnberg,A-Wda D-4,15,15th century,Unknown,provenance_075
95,http://cantusdatabase.org/source/123685,"Fulda, Hessische Landesbibliothek, Aa 55",Rasdorf,D-FUl Aa 55,14,14th century,Secular,provenance_135
96,http://cantusdatabase.org/source/123741,"Köln (Cologne), Erzbischöfliche Diözesan- und Dombibliothek, 215",Würzburg,D-KNd 215,12,12th century,Monastic,provenance_213
97,http://cantusdatabase.org/source/123677,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 1411",Milan,F-Pn NAL 1411,12,12th century (2nd half),Monastic,provenance_097
98,http://cantusdatabase.org/source/123631,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15181",Paris,F-Pn Lat. 15181,14,14th century,Secular,provenance_121
99,http://cantusdatabase.org/source/620437,"Solesmes, Abbaye de Saint-Pierre, 596 (The Wilton Processional)",English,F-SO 596,13,13th century (1275-1300),Monastic,provenance_049
100,http://cantusdatabase.org/source/123668,"London, British Library, printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",Augsburg,GB-Lbl IB.6753,15,15th century (1475-1500),Secular,provenance_016
101,http://cantusdatabase.org/source/123609,Gottschalk Antiphoner (fragments),Lambach Abbey,GOTTSCHALK,12,12th century,Monastic,provenance_081
102,http://cantusdatabase.org/source/123604,"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c.",Chiavenna,I-CHV,11,11th century,Secular,provenance_035
103,http://cantusbohemiae.cz/source/28488,CZ-Pu (Praha) VI G 11,St George's Convent in Prague,CZ-Pu VI G 11,13,13th century,Monastic,provenance_129
104,http://musmed.eu/source/9343,F-CHRm : Ms 0047 (40),St sauveur de Redon,F-CHRm Ms 0047 (40),10,10th century,Unknown,provenance_231
105,http://musmed.eu/source/13486,F-Pn : Lat. 17296, Abbaye royale de Saint-Denis,F-Pn Lat. 17296,12,12th century,Monastic,provenance_121
106,http://musmed.eu/source/13026,F-Pn : Lat. 909,St Martial de Limoges,F-Pn Lat. 909,11,11th century,Unknown,provenance_176
107,http://cantus.sk/source/6777,SK-Sk (Spišska Kapitula) Antiphonale Scepusiense,Slovakia,SK-Sk 2,15,15th century,Unknown,provenance_226
108,http://cantusdatabase.org/source/123610,"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",St-Lambrecht,A-Gu 29,14,14th century,Monastic,provenance_165
109,http://cantusdatabase.org/source/123727,"Praha (Prague), Národní knihovna České republiky (National Library), VI.E.4c","Prague, St. George Monastery",CZ-Pu VI.E.4c,12,12th century (2nd half),Monastic,provenance_129
110,http://cantusdatabase.org/source/123730,"Praha (Prague), Národní knihovna České republiky (National Library), XIV.B.13","Prague, St. George Monastery",CZ-Pu XIV B 13,14,14th century,Monastic,provenance_129
111,http://cantusdatabase.org/source/123653,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1010",Klosterneuburg,A-KN 1010,12,12th century,Secular,provenance_076
112,http://cantusdatabase.org/source/123654,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1011",Klosterneuburg,A-KN 1011,14,14th century,Secular,provenance_076
113,http://cantusdatabase.org/source/123655,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1015",Klosterneuburg,A-KN 1015,14,14th century,Secular,provenance_076
114,http://cantusdatabase.org/source/123615,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1017",Klosterneuburg,A-KN 1017,13,13th century,Secular,provenance_076
115,http://cantusdatabase.org/source/123717,"Sankt Gallen, Stiftsbibliothek, 390",St. Gallen,CH-SGs 390,10,10th century (975-1000),Monastic,provenance_174
116,http://cantusdatabase.org/source/123715,"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)",Hilwartshausen,D-W 29 Helmst.,16,16th century,Secular,provenance_068
117,http://cantusdatabase.org/source/123689,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [01] I",Augsburg,DK-Kk 3449 8o [01] I,16,16th century (1575-1600),Secular,provenance_016
118,http://cantusdatabase.org/source/123736,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1",Kielce,PL-KIk 1,14,14th century (1350-1375),Secular,provenance_074
119,http://cantusdatabase.org/source/123618,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)",Kranj,SI-Lna 18 (olim 17),15,15th century (1475-1500),Secular,provenance_078
120,http://cantusbohemiae.cz/source/4478,Cz-Pu (Praha) XIV A 19,Prague,CZ-Pu Pu XIV A 19,14,14th century,Unknown,provenance_128
121,http://cantus.ispan.pl/source/4557,PL-Klk 1 Antyfonarz kielecki,Kielce,1,14,14th century,Unknown,provenance_074
122,http://cantus.ispan.pl/source/21018,PL-STAb 1 Antiphonarium,Staniątki,ms. 1,16,16th century,Unknown,provenance_221
123,http://cantus.ispan.pl/source/22868,D-B Theol. Lat. Qu. 149 Breviarium monasticum,Lubiń,Theol. Lat. Qu. 149,unknown,unknown,Unknown,provenance_247
124,http://cantusdatabase.org/source/123682,"München, Bayerische Staatsbibliothek, Clm 4304",Augsburg,D-Mbs Clm 4304,16,16th century (1500-1525),Monastic,provenance_016
125,http://cantusdatabase.org/source/123766,"Vercelli, Biblioteca Capitolare, CLXX",Arras,I-VCd CLXX,unknown,unknown,Secular,provenance_014
126,http://cantusdatabase.org/source/123710,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.4 (rkp. Perg. 20)",Kraków,PL-Kkar 4 (Rkp 20),15,15th century,Secular,provenance_077
127,http://cantusdatabase.org/source/123659,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)",Kranj,SI-Lna 19 (olim 18),unknown,unknown,Secular,provenance_078
128,http://cantusdatabase.org/source/683940,"New York, Columbia University - Barnard College Library,  MS 1",Italy,US-NYcub Barnard 1,14,14th century,Secular,provenance_071
129,http://cantusdatabase.org/source/123594,"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)",Bamberg,D-BAs Msc.Lit.25,13,13th century,Secular,provenance_019
130,http://cantusdatabase.org/source/123622,"Mainz, Bischöfliches Dom- und Diözesanmuseum, C",Mainz,D-MZb C,15,15th century (1425-1450),Secular,provenance_090
131,http://cantusdatabase.org/source/123679,"Albi, Bibliothèque municipale Rochegude, 44",Albi,F-AI 44,unknown,unknown,Unknown,provenance_003
132,http://cantusdatabase.org/source/123712,"Wrocław, Zakład Narodowy im. Ossolińskich, Biblioteka, Rkp. 12025/IV",Kraków,PL-WRzno 12025/IV,unknown,unknown,Secular,provenance_077
133,http://cantusbohemiae.cz/source/2156,CZ-Pu (Praha) XIII C 4,"Praha, klášter sv. Jiří",CZ-Pu XIII C 4,14,14th century,Unknown,provenance_129
134,http://cantusbohemiae.cz/source/9136,CZ-Pu (Praha) XII C 3,St George's Convent in Prague (?),CZ-Pu XII C 3,13,13th century,Unknown,provenance_129
135,http://cantus.sk/source/14828,SK-Bra (Bratislava) Antiphonary of Bratislava I EC Lad.3,Bratislava,SK-Bra BAI ECLad.3,15,15th century,Unknown,provenance_224
136,http://cantus.sk/source/14018,SK-Bra (Bratislava) Antiphonary of Bratislava III EC Lad.6,Buda / Bratislava,SK-Bra BAIII ECLad.6,15,15th century,Unknown,unknown
137,http://cantusdatabase.org/source/123645,"Wien, Diözesanarchiv, C-11",Kirnberg,A-Wda C-11,15,15th century,Unknown,provenance_075
138,http://cantusdatabase.org/source/123664,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)",Tongeren,B-TO olv 63,14,14th century (1375-1400),Secular,provenance_186
139,http://cantusdatabase.org/source/123665,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)",Tongeren,B-TO olv 64,14,14th century (1375-1400),Secular,provenance_186
140,http://cantusdatabase.org/source/123723,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",Salzinnes,CDN-Hsmu M2149.L4,16,16th century (1550-1575),Monastic,provenance_153
141,http://cantusdatabase.org/source/601861,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 1161",Köln,D-KNd 1161,unknown,unknown,Monastic,provenance_080
142,http://cantusdatabase.org/source/123624,"Mainz, Bischöfliches Dom- und Diözesanmuseum, E",Mainz,D-MZb E,15,15th century (1425-1450),Secular,provenance_090
143,http://cantusdatabase.org/source/123702,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [14] XIV",Augsburg,DK-Kk 3449 8o [14] XIV,16,16th century (1575-1600),Secular,provenance_016
144,http://cantusdatabase.org/source/123600,"Budapest, Egyetemi Könyvtár (University Library), lat. 122",Franciscan,H-Bu lat. 122,14,14th century,Secular,provenance_146
145,http://cantusdatabase.org/source/123625,"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542",Montecassino,I-MC 542,12,12th century,Secular,provenance_100
146,http://cantusdatabase.org/source/123708,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.2 (rkp. Perg. 14)",Kraków,PL-Kkar 2 (Rkp 14),unknown,unknown,Secular,provenance_077
147,http://cantusdatabase.org/source/123711,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)",Kraków,PL-Kkar 5 (Rkp 13),15,15th century,Secular,provenance_077
148,http://cantus.sk/source/2284,SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IV,Bratislava,SK-BRsa SNA 2,15,15th century,Unknown,provenance_224
149,http://cantus.sk/source/3192,SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IIb,Bratislava,SK-BRsa SNA 4,15,15th century,Unknown,provenance_224
150,http://musicahispanica.eu/source/20154,"E-E (San Lorenzo de El Escorial) E-E, L. III. 3.",San Juan de la Peña,"E-E E-E, L. III. 3.",12,12th century,Unknown,provenance_236
151,http://musicahispanica.eu/source/72835,GB-Lbl (London) Add MS 30847,Silos,GB-Lbl Add MS 30847,11,11th century,Unknown,provenance_235
152,http://musicahispanica.eu/source/22303,E-Gs (Girona) ms. 45,Colegiata de Sant Feliu de Girona,"E-Gs ms. 45 (olim Sant Feliu, 20)",12,12th century,Unknown,provenance_232
153,http://musmed.eu/source/23756,F-CH : Ms 0050,Collection Standish,F-CH Ms 0050,13,13th century,Unknown,unknown
154,http://musmed.eu/source/13535,F-Pn : NAL 01236,Nevers,F-Pn NAL 01236,12,12th century,Romanum,provenance_237
155,http://musmed.eu/source/13023,F-Pn : Lat. 904,Cathédrale de Rouen,F-Pn Lat. 904,13,13th century,Unknown,provenance_239
156,http://cantusdatabase.org/source/649450,"Praha (Prague), Strahovská knihovna (Library of the Royal Canonry of Premonstratensians at Strahov), DE I 7",Esztergom,CZ-Pst DE I 7,unknown,unknown,Secular,provenance_051
157,http://cantusdatabase.org/source/123621,"Mainz, Bischöfliches Dom- und Diözesanmuseum, B",Mainz,D-MZb B,15,15th century (1425-1450),Secular,provenance_090
158,http://cantusdatabase.org/source/123681,"München, Bayerische Staatsbibliothek, Clm 4303",Augsburg,D-Mbs Clm 4303,unknown,unknown,Monastic,provenance_016
